주소,약국명,대표전화,경도,위도
"서울특별시 송파구 송파대로45길 4, 1층 101호 (석촌동, 호반빌라)",석촌솔약국,02-415-8667,127.1053029,37.50645253
"서울특별시 송파구 송파대로 438, 103호 (송파동)",석촌온누리약국,02-421-9789,127.1070193,37.50592606
"서울특별시 송파구 송파대로 441, 청호빌딩 1층 (석촌동)",석촌한우리약국,070-7543-5765,127.1061679,37.50580627
"서울특별시 강남구 개포로 615, 401호 (개포동, 석탑프라자)",석탑이레약국,02-3411-3968,127.0755825,37.49265809
"서울특별시 영등포구 국제금융로2길 24, 삼성생명(주)여의도빌딩 1층 4호 (여의도동)",선경약국,02-786-1192,126.92484,37.52430479
"서울특별시 강남구 테헤란로 401, 남경센타 지하1층 5호 (삼성동)",선릉수약국,02-569-0314,127.0491459,37.50497032
"서울특별시 강남구 테헤란로 지하 340, 선릉역 지하1층 220-103호 (삼성동)",선릉역약국,02-556-3339,127.0489425,37.50450288
"서울특별시 강남구 테헤란로 333, 지하1층 (역삼동)",선릉코코약국,02-563-1222,127.0480134,37.50469661
"서울특별시 강남구 테헤란로 326, 역삼 아이타워 지하1층 (역삼동)",선릉타워약국,02-508-5118,127.0470336,37.50354706
서울특별시 강동구 올림픽로 800 (암사동),선사약국,02-442-8418,127.1285866,37.55231052
서울특별시 송파구 올림픽로4길 17   (잠실동),선수촌약국,02-417-5463,127.0765197,37.50865223
"서울특별시 강동구 고덕로 385, 고덕그라시움아파트(상가4동) 108,109호 (고덕동)",선약국,02-3426-0457,127.1684124,37.55736719
"서울특별시 강서구 강서로 194-9, 1층 (화곡동)",선약국,02-2605-0556,126.838895,37.5440483
"서울특별시 송파구 마천로41길 5, 자매빌딩 1층 102호 (마천동)",선약국,02-400-1993,127.1481318,37.49733211
서울특별시 성북구 돌곶이로41길 10 (장위동),선약국,02-942-4553,127.0456951,37.61846178
서울특별시 광진구 용마산로 8,선약국,02-456-3433,127.088729,37.55425695
"서울특별시 성동구 마장로 187, 1층 (홍익동)",선영약국,02-2294-3734,127.0307505,37.56684808
서울특별시 강북구 노해로23길 73 (수유동),선영약국,02-998-3882,127.0195665,37.64600242
서울특별시 은평구 은평로 52  (신사동),선우약국,02-302-5583,126.9135965,37.59844965
"서울특별시 영등포구 양평로 129 (양평동5가,1층)",선유도온누리약국,02-3667-3517,126.8932646,37.53793415
"서울특별시 강남구 봉은사로 327, 궁도빌딩 1층 (논현동)",선정릉약국,02-541-8378,127.0426534,37.51018651
"서울특별시 마포구 독막로20길 53, 1층 (창전동)",선진약국,02-334-5437,126.928329,37.54706092
"서울특별시 성북구 길음로 20, 길음뉴타운,래미안길음3차아파트 상가 514호, 515호 (길음동)",선한약국,02-913-9270,127.0230402,37.60475425
서울특별시 성북구 돌곶이로 67 (석관동),선화약국,02-960-1614,127.0580032,37.60970111
"서울특별시 중랑구 망우로 441, (망우동)",선화약국,02-434-8784,127.10101,37.60025067
서울특별시 영등포구 도신로58길 17  (신길동),선화온누리약국,02-833-7998,126.9170417,37.51047467
"서울특별시 강서구 마곡중앙6로 65, 지투프라자 1층 101호 (마곡동)",설아약국,070-4833-3204,126.8347194,37.56042527
서울특별시 성동구 마조로1길 39(행당동),설약국,02-2294-8274,127.0392349,37.5609489
"서울특별시 동작구 노량진로 124, 1층 (노량진동)",설약국,02-825-8272,126.9396191,37.51327301
"서울특별시 관악구 남부순환로 1805, 1층 (봉천동)",설약국,02-883-7701,126.950845,37.4817775
서울특별시 동대문구 전농로 134 (전농동),설파약국,02-2245-4501,127.0579964,37.57685104
서울특별시 도봉구 도당로 133 (방학동),성가온누리약국,02-6080-6424,127.0410973,37.66744863
서울특별시 중랑구 망우로 478 (망우동),성경온누리약국,02-432-6443,127.105263,37.60036561
"서울특별시 강남구 일원로 49, 1층 (일원동)",성균관약국,02-451-4578,127.0816375,37.48961352
"서울특별시 종로구 수표로 115, 1층 (낙원동)",성당약국,02-765-4342,126.9890539,37.57154252
서울특별시 동작구 성대로 11 (상도동),성대약국,02-821-1519,126.9325603,37.50002514
"서울특별시 동작구 상도로 92, 성대메디컬 1층 (상도동)",성대천사약국,02-3280-8572,126.93094,37.49968705
"서울특별시 강동구 구천면로 372, (천호동)",성덕약국,02-487-5503,127.1399071,37.55048331
서울특별시 용산구 회나무로 25 (이태원동),성도약국,02-793-9991,126.9895965,37.53954976
서울특별시 광진구 자양번영로 11,성동약국,02-452-1809,127.0747239,37.53070227
"서울특별시 성동구 난계로 36, 1층 (금호동1가, 제일의원)",성동온누리약국,02-2295-8810,127.0249675,37.55540967
서울특별시 관악구 쑥고개로 86 (봉천동),성락약국,02-889-8275,126.9460516,37.47915735
"서울특별시 영등포구 영중로 45, 지하1층 101호 (영등포동6가)",성모메디컬약국,02-2678-1670,126.9044571,37.52046053
"서울특별시 동대문구 왕산로 193, 1층 102호 (청량리동)",성모약국,02-960-7784,127.0445332,37.58022535
서울특별시 강서구 화곡로 313 (화곡동),성모약국,02-2601-5300,126.8497029,37.55228371
"서울특별시 강남구 개포로 516, 101호 (개포동)",성모약국,02-3412-1336,127.0708715,37.48914068
서울특별시 마포구 백범로 127,성모약국,02-713-7854,126.9454564,37.54655353
"서울특별시 성동구 뚝섬로 388 (성수동2가, 성수메디칼)",성모약국,02-6014-9641,127.05367,37.53901058
"서울특별시 동작구 상도로 247, 1층 (상도동)",성모약국,02-815-8342,126.9462574,37.5050659
"서울특별시 영등포구 63로 36, 103, 104호 (여의도동, 리버타워)",성모엔젤약국,050-71494-1523,126.9386104,37.51942067
"서울특별시 은평구 통일로 1034, 1층 129호 (진관동, 은평 스카이뷰 자이)",성모자이약국,02-357-1700,126.9176562,37.63528107
"서울특별시 은평구 통일로 1030, 은평헤스티아 102호 (진관동)",성모제일약국,02-353-3883,126.9176955,37.63419225
서울특별시 금천구 한내로 69-15,성문약국,02-893-9098,126.8865505,37.45738742
서울특별시 관악구 남부순환로208길 10 (봉천동),성보약국,02-885-4250,126.9432691,37.4816822
서울특별시 성북구 동소문로 32 (동소문동3가),성북녹십자약국,02-926-4166,127.0097057,37.58975414
"서울특별시 성북구 종암로 78, 1층 (종암동)",성북성모약국,02-913-7516,127.0354884,37.59726411
"서울특별시 성북구 화랑로19길 83, 1층 (장위동)",성북월드팜약국,02-918-7972,127.051315,37.60992873
"서울특별시 성북구 보문로 152, 윤홍빌딩 1층 (삼선동5가)",성북제일큰약국,02-2088-4751,127.0176982,37.58843389
"서울특별시 성동구 고산자로 234, 7층 (행당동)",성산약국,02-2294-8555,127.0352654,37.56052651
"서울특별시 마포구 월드컵북로38길 14, 408호 (중동, 오윤빌딩)",성산연세약국,02-374-3788,126.9037729,37.57059569
"서울특별시 마포구 월드컵북로38길 14, 3층(중동,오윤빌딩)",성산진약국,02-376-2639,126.9037729,37.57059569
"서울특별시 성동구 왕십리로 114, 신한빌딩 103호 (성수동1가)",성수서울숲약국,02-499-1164,127.044746,37.54768543
"서울특별시 성동구 아차산로 116, 1층 (성수동2가)",성수약국,02-469-9886,127.0566276,37.54404155
"서울특별시 성동구 아차산로7길 11, 1층 (성수동2가)",성수오렌지약국,02-463-0711,127.0544107,37.54624067
서울특별시 관악구 은천로 105 (봉천동),성수온누리약국,02-882-1941,126.9471318,37.48712401
서울특별시 성동구 아차산로7길 21,성수종로약국,02-469-4928,127.0547971,37.54720213
"서울특별시 성동구 아차산로 120, 베델 플레이스 3층 302호 (성수동2가)",성수햇살약국,02-463-5657,127.0572233,37.54391026
서울특별시 관악구 남부순환로 1728(봉천동),성신약국,02-878-8350,126.9420194,37.48212741
"서울특별시 성북구 아리랑로 7-1, 동소문동근생 1층 (동소문동6가)",성신필약국,02-925-6100,127.0161338,37.59346751
"서울특별시 은평구 갈현로11길 26, 지층 (구산동)",성실약국,02-354-1388,126.9077306,37.60512101
"서울특별시 영등포구 신길로 18, 103호 (신길동)",성심바른약국,02-835-1106,126.9091054,37.49432722
"서울특별시 종로구 지봉로 61, 1층 (창신동)",성심약국,02-743-2062,127.0154759,37.57552693
"서울특별시 구로구 경인로20길 6, 포스시티 104호 (오류동)",성심약국,02-2687-1489,126.8433766,37.49540382
"서울특별시 관악구 봉천로 227, 107호 (봉천동)",성심약국,02-889-9395,126.9271176,37.49003154
"서울특별시 마포구 독막로 266 105호 (대흥동, 대흥동태영아파트)",성심약국,02-707-3300,126.9423896,37.54386754
"서울특별시 송파구 마천로 190 (오금동, 청전빌딩 104호)",성심약국,02-404-7341,127.1397094,37.50254865
서울특별시 양천구 목동중앙북로 128,성심약국,02-2643-9211,126.8773767,37.54627621
서울특별시 강남구 개포로 223,성심약국,02-3463-0689,127.0472556,37.47894145
서울특별시 강남구 개포로 223  (개포동),성심약국,02-3463-0689,127.0472556,37.47894145
"서울특별시 노원구 석계로 49 (월계동, 현대아파트 주상가 122호)",성심온누리약국,02-943-1651,127.0625099,37.61721774
서울특별시 영등포구 시흥대로 663 (대림동),성심제일약국,02-6402-2909,126.9076499,37.49100435
서울특별시 동작구 상도로15길 143 (상도동),성약국,02-815-8313,126.938788,37.50510389
서울특별시 서대문구 연희로 114,성우당약국,02-334-2968,126.9319156,37.56783688
"서울특별시 영등포구 여의대로 24, 전국경제인연합회회관 지하1층 114-2호 (여의도동)",성우약국,02-718-1454,126.9199166,37.52218032
"서울특별시 영등포구 여의나루로 53-1, 대오빌딩 지하1층 103호 (여의도동)",성운약국,050-71390-8326,126.9249939,37.52270192
"서울특별시 송파구 송파대로28길 27, 102동 201호 (가락동, 송파성원쌍떼빌)",성원큰사랑약국,02-406-3555,127.1201328,37.49481216
서울특별시 성동구 상원길 59  (성수동1가),성은약국,02-497-0166,127.0478884,37.54929959
"서울특별시 마포구 효창원로 255-1, 1층 (공덕동)",성은약국,02-712-2209,126.963465,37.55000913
서울특별시 구로구 개봉로 9 (개봉동),성인약국,02-2682-2643,126.8561744,37.48653932
"서울특별시 강남구 압구정로 160, 제성빌딩 3층 301호 (신사동)",성일약국,02-546-3906,127.0272256,37.52626272
"서울특별시 중랑구 사가정로45길 41, (면목동)",성재약국,02-434-6715,127.0853778,37.58298676
서울특별시 송파구 동남로 136 (문정동),성조약국,02-407-1569,127.1260491,37.49106475
서울특별시 서초구 방배로 268,성지약국,02-537-1086,126.9884208,37.49668577
"서울특별시 마포구 동교로 181, (동교동)",성지약국,02-333-4254,126.9215587,37.55680424
"서울특별시 강남구 강남대로106길 9, 3층 (역삼동)",성지약국,050-71492-0319,127.0263417,37.50300891
"서울특별시 중랑구 공릉로12가길 52, (묵동)",성지옵티마약국,02-972-9890,127.0821978,37.61754074
서울특별시 광진구 면목로 203,성진약국,02-432-4948,127.0832298,37.57121753
서울특별시 종로구 창경궁로 271-1 (혜화동),성진약국,02-762-2211,127.0006014,37.58556826
서울특별시 강서구 강서로5나길 109  (화곡동),성혜약국,02-2603-1972,126.8419059,37.52796881
"서울특별시 은평구 진흥로1길 23, (역촌동)",성환약국,02-355-8374,126.9184173,37.60255385
"서울특별시 종로구 세검정로6길 104, 1층 (신영동)",세검정온누리약국,02-394-3949,126.9618026,37.60163172
"서울특별시 송파구 위례서로 248, 지하1층 L07, L08, L09호 (거여동)",세계로메디칼약국,02-404-1275,127.1422629,37.48664275
"서울특별시 종로구 우정국로 36, 1층 (공평동)",세계로약국,02-737-3338,126.9832742,37.57217803
서울특별시 마포구 월드컵북로 347  (상암동),세계로약국,02-373-0343,126.8932162,37.57634541
"서울특별시 강북구 도봉로 253, 서울메디칼빌딩 (수유동)",세계로약국,02-985-0502,127.0239879,37.63102255
"서울특별시 노원구 상계로 119, (상계동)",세계로약국,02-951-7274,127.067894,37.65791883
서울특별시 송파구 거마로 66 (마천동),세계로약국,02-402-0067,127.1471412,37.49866035
"서울특별시 서초구 동작대로 38, (방배동)",세계로약국,02-3474-2599,126.9821641,37.47981632
서울특별시 은평구 불광로 54 (불광동),세계로약국,02-355-0513,126.9314811,37.61181856
"서울특별시 동작구 상도로 206, 101호 (상도동)",세계로약국,02-814-6220,126.9415132,37.5049713
서울특별시 성북구 화랑로40길 54 (석관동),세계로약국,02-962-5446,127.0644845,37.61345343
"서울특별시 중랑구 동일로 775, 그린빌딩 1층 (중화동)",세계로약국,02-432-3284,127.0794667,37.5996887
"서울특별시 광진구 아차산로 219, 삼영빌딩 1층 (화양동)",세계로온누리약국,02-466-0253,127.0679321,37.54112608
서울특별시 구로구 경인로 643,세계로온누리약국,02-2631-7351,126.8855536,37.50884988
서울특별시 용산구 원효로53길 1  (원효로2가),세계약국,02-703-4649,126.9619968,37.53577135
"서울특별시 중구 남대문로 지하72, 명동지하쇼핑센터 바-2호 (남대문로2가)",세계약국,02-776-8000,126.9820902,37.56356416
서울특별시 강남구 헌릉로570길 34,세곡리엔약국,02-445-8604,127.1034683,37.4631481
"서울특별시 강남구 헌릉로569길 27, 2층 (세곡동)",세곡온누리약국,070-8828-7963,127.0987683,37.46676986
서울특별시 동대문구 왕산로 171 (제기동),세광약국,02-962-8989,127.0421002,37.57948634
서울특별시 서대문구 연세로 39 (창천동),세란약국,02-322-1239,126.9366843,37.55917042
서울특별시 관악구 남부순환로161가길 26 (신림동),세란약국,02-854-5925,126.9173224,37.48505478
서울특별시 광진구 천호대로 635,세란약국,02-455-0789,127.0883333,37.55409669
"서울특별시 강서구 강서로 231, 208호 (화곡동, 우장산역 해링턴 타워)",세란온누리약국,02-2065-1103,126.8361177,37.54624481
"서울특별시 강남구 강남대로152길 46, 1층 (신사동)",세로수길약국,02-518-1374,127.0229815,37.5181737
"서울특별시 동대문구 약령중앙로 17-1, 2층 (제기동)",세림약국,02-2294-0071,127.0368381,37.57990175
"서울특별시 동작구 여의대방로44길 47 (대방동, 주공상가 101호)",세메론약국,02-825-6161,126.9304186,37.50992351
서울특별시 금천구 시흥대로 222 (시흥동),세명당약국,02-803-3481,126.9012844,37.45371766
"서울특별시 구로구 오류로8길 16, 세명프라자 201호 (오류동)",세명약국,02-2615-7570,126.8415211,37.49098272
서울특별시 강남구 학동로 411  (청담동),세명약국,02-540-0054,127.0447131,37.51809729
서울특별시 마포구 마포대로 127,세명약국,02-715-6290,126.9521413,37.54619449
"서울특별시 종로구 자하문로7길 73, 101호 (누하동, 트라이빌)",세민약국,02-739-8851,126.9687879,37.58038279
"서울특별시 노원구 섬밭로 229 201호 (하계동, 극동,건영,벽산아파트)",세브란스약국,02-974-3587,127.0645392,37.63661786
서울특별시 동작구 동작대로25길 39 (사당동),세브란스약국,02-593-1551,126.9803676,37.48541328
서울특별시 용산구 대사관로 56 (한남동),세브레스약국,02-798-3048,127.0041866,37.53328459
"서울특별시 강서구 마곡동로 61, 에이스프라자 403호 (마곡동)",세븐약국,02-2088-4850,126.8331597,37.56061779
"서울특별시 서초구 서초대로 240 지하1층 B02호 (서초동, 서초동 동일하이빌)",세븐약국,02-598-7753,127.0083435,37.49157706
"서울특별시 서대문구 응암로 64, 1층 (북가좌동)",세빛약국,02-6052-0333,126.9106942,37.5787172
서울특별시 영등포구 시흥대로187길 1,세성심약국,02-832-9144,126.9086804,37.49237513
"서울특별시 성동구 마장로35길 76, 105-2 (마장동,현대아파트상가)",세심약국,02-2282-5734,127.0419968,37.57026263
"서울특별시 양천구 목동남로4길 2, 2층 208-2호 (신정동, 세양청마루2차 주상복합)",세양메디신약국,02-2687-0322,126.8645355,37.5082875
서울특별시 서대문구 연세로 50,세연약국,02-364-6141,126.9439162,37.56605084
서울특별시 광진구 뚝섬로27길 65 (자양동),세영약국,02-464-3577,127.0667171,37.53871993
서울특별시 관악구 남부순환로 1479 (신림동),세영약국,02-856-2609,126.9149409,37.48217995
서울특별시 양천구 중앙로 235 (신정동),세왕약국,02-2603-7284,126.8538301,37.51737478
"서울특별시 성북구 동소문로20가길 51 (동선동1가, 수국빌딩)",세원약국,02-922-6060,127.0188277,37.59377381
서울특별시 은평구 갈현로 8 (신사동),세원약국,02-359-5643,126.9104044,37.59854548
"서울특별시 관악구 난곡로 220, 1층 (신림동, 세이브마트)",세이브 약국,02-855-6965,126.9180585,37.47428544
"서울특별시 서대문구 이화여대길 52, 지하4층 404호 (대현동, 이화여자대학교 ECC)",세이지약국,02-362-6582,126.9502888,37.56446452
서울특별시 강북구 도봉로71길 34 (수유동),세일약국,02-989-1682,127.0219724,37.63135955
"서울특별시 노원구 섬밭로 201  (하계동, 시영아파트)",세일약국,02-930-1199,127.0659142,37.63388
"서울특별시 영등포구 여의대방로 197, (신길동)",세종로약국,02-846-0072,126.921849,37.50463493
"서울특별시 종로구 세종대로23길 54, 세종빌딩 지하1층 130호 (당주동)",세종약국,02-3210-2292,126.9732846,37.57183949
서울특별시 성북구 보국문로 168 (정릉동),세종약국,02-914-3685,127.0028858,37.61711938
서울특별시 은평구 불광로 25 (대조동),세종약국,02-384-1545,126.9286947,37.61064968
"서울특별시 광진구 능동로 209, 세종대학교 대양 AI센터 1층 (군자동)",세종약국,02-466-5110,127.0731836,37.55160931
"서울특별시 금천구 독산로 199, (독산동)",세종약국,02-806-3224,126.9025313,37.46467338
"서울특별시 관악구 난곡로 181, 성수빌딩 1층 (신림동)",세종약국,02-861-5803,126.9196037,37.47130974
서울특별시 서초구 서초중앙로 125 (서초동),세진약국,02-533-3528,127.0134188,37.49300947
"서울특별시 강남구 압구정로36길 12, 메디컬뱅크 1층 103호 (신사동)",세진약국,02-545-8548,127.0313461,37.52765276
서울특별시 구로구 개봉로 63  (개봉동),세진약국,02-2060-0875,126.8556895,37.49138218
서울특별시 강남구 논현로 503 송촌빌딩 703-1호 (역삼동),세코아약국,02-552-6861,127.0363668,37.50127398
서울특별시 중랑구 중랑역로 21  (중화동),세화당약국,02-434-8794,127.075951,37.59590568
"서울특별시 서초구 신반포로 100, 406호 (반포동, 래미안퍼스티지신반포역상가)",세화약국,02-3478-9656,126.9956936,37.50308493
"서울특별시 동작구 상도로 58, 1층 102호 (대방동, 올리브빌딩)",세화약국,269563233,126.9268688,37.4995662
서울특별시 강북구 도봉로77길 6  (수유동),세화온누리약국,02-988-2552,127.0228016,37.63375808
"서울특별시 강남구 강남대로 516, 101호 (논현동)",센느약국,02-540-0994,127.0231381,37.50826902
서울특별시 용산구 한강대로 405   (동자동),센츄럴팜약국,02-393-5505,126.9717326,37.5548376
"서울특별시 광진구 능동로 420, (중곡동)",센터온누리약국,02-461-1045,127.0847632,37.56629349
"서울특별시 강동구 고덕로80길 123, 고덕센트럴아이파크아파트(상가A동) 2층 206호 (상일제1동)",센트럴약국,02-428-2123,127.1655961,37.55093094
"서울특별시 서초구 방배로 83, B층 102호 (방배동)",센트럴약국,02-525-1731,126.9970076,37.48186463
"서울특별시 노원구 노해로 507, 와우쇼핑몰 3층 309호 (상계동)",센트럴약국,02-939-2001,127.0638891,37.65542724
서울특별시 강남구 봉은사로 211,센트럴약국,02-549-1210,127.0352019,37.50798034
"서울특별시 중랑구 동일로92길 40, 2층 204호 (면목동, 사가정센트럴아이파크)",센트럴약국,02-434-9460,127.0803759,37.58189295
"서울특별시 송파구 올림픽로 145, 리센츠 2층 2A29호 (잠실동)",셀럽약국,02-6349-0529,127.0870419,37.51198046
"서울특별시 강남구 언주로 720, 펜트힐캐스케이드 101호 (논현동)",셀린약국,02-514-0153,127.0358955,37.5180739
"서울특별시 은평구 통일로 741-1 (대조동, Das Haus)",셀메드 1층엔약국,02-382-1080,126.9285038,37.61156335
"서울특별시 중구 다산로 114-8, 1층 (신당동)",셀메드 좋은약국,02-2252-1621,127.0106918,37.55384517
"서울특별시 노원구 한글비석로 253, 세신프라자빌딩 4층 405호 일부호 (중계동)",셀메드 창희약국,02-938-3827,127.0763481,37.6504237
"서울특별시 금천구 독산로 142 (시흥동, 덕산빌딩)",셀메드금천이화약국,02-895-8859,126.9050934,37.46008518
서울특별시 성북구 돌곶이로 45 (석관동),셀메드믿음약국,02-963-3249,127.0595731,37.60815018
서울특별시 양천구 오목로 70 (신월동),셀메드새롬약국,02-2606-2806,126.8385449,37.52134812
"서울특별시 서초구 효령로25길 28, 이레힐 1층 101호 (방배동)",셀메드수약국,02-525-5339,126.9939814,37.48239242
"서울특별시 성동구 뚝섬로1길 53-1, 1층 (성수동1가)",셀메드스카이약국,02-467-0301,127.0474704,37.54602562
서울특별시 은평구 응암로22길 22 (응암동),셀메드이화약국,02-302-1783,126.9204509,37.59331188
"서울특별시 중구 필동로 14, 민성빌딩 1층 (필동2가)",셀메드필약국,02-2268-7552,126.995891,37.5604061
"서울특별시 송파구 송파대로 345, 상가1A동 1045호 (가락동, 헬리오시티)",셀메드행복한약국,02-449-1190,127.1025318,37.49761457
"서울특별시 마포구 양화로 72, 1층 118호 (서교동)",셀약국,02-337-7959,126.916494,37.55081382
"서울특별시 영등포구 신길로 150-1, 1층 (신길동)",소나무약국,02-6674-0071,126.9110976,37.50551374
서울특별시 송파구 중대로 80  (문정동),소나무약국,02-402-4701,127.1178428,37.49176204
"서울특별시 마포구 월드컵북로 402, 케이지아이티센터 102호 (상암동)",소나무약국,02-6393-5567,126.8889823,37.58010775
"서울특별시 노원구 노원로 330, 롯데마트 지하1층 (중계동)",소나무약국,02-931-1996,127.0709409,37.64679053
서울특별시 강남구 개포로 220,소나무약국,02-572-6409,127.0467976,37.47854131
"서울특별시 마포구 성암로 179, 한샘상암 1층 (상암동)",소담약국,02-304-0779,126.8987638,37.57615091
"서울특별시 종로구 성균관로 18, (명륜2가)",소담약국,02-765-2126,126.9976413,37.58440613
"서울특별시 강남구 테헤란로 337, 1층 (역삼동)",소담약국,02-552-9593,127.0484575,37.50479491
"서울특별시 광진구 면목로 117, 1층 102호 (중곡동, 바론채)",소라약국,02-469-5566,127.0800898,37.5640685
"서울특별시 강동구 구천면로 218, 104호 (천호동)",소리약국,02-474-1964,127.1258172,37.54035753
서울특별시 동작구 서달로 157 (흑석동),소망메디컬약국,02-826-2223,126.9617037,37.50761987
"서울특별시 동대문구 홍릉로 28, 성일빌딩 1층 (청량리동)",소망약국,02-967-9626,127.044683,37.58282249
서울특별시 성북구 정릉로 322 (정릉동),소망약국,02-918-8055,127.0189873,37.60217733
"서울특별시 영등포구 영신로19길 23, (영등포동)",소망약국,02-845-4054,126.9054235,37.51355431
"서울특별시 마포구 양화로 165, 상진빌딩 지하1층 (동교동)",소망약국,02-336-0630,126.9236162,37.55713067
"서울특별시 관악구 남부순환로 1956, 지하1층 (봉천동)",소망약국,02-876-5588,126.9659823,37.47585202
"서울특별시 용산구 이촌로 264, 106호(이촌동,삼익상가)",소망약국,02-795-5582,126.9761337,37.51902912
"서울특별시 도봉구 마들로 691, 1층 (도봉동)",소망약국,02-954-7291,127.0463423,37.67182203
서울특별시 중구 퇴계로88길 42,소망약국,02-2253-2355,127.0202492,37.56378435
서울특별시 강서구 공항대로41길 76,소망약국,02-3665-8853,126.8468268,37.56096427
"서울특별시 강남구 테헤란로87길 13, 1층 (삼성동, 서영빌딩)",소망약국,02-555-6806,127.0585918,37.50863338
"서울특별시 양천구 오목로 322, 1층 (목동)",소망약국,02-2653-0947,126.8730594,37.52457602
"서울특별시 서초구 서초중앙로 26, 2층 221호 (서초동, 래미안 서초유니빌)",소망약국,02-598-6335,127.0162578,37.48586565
서울특별시 노원구 한글비석로 253  (중계동),소망약국,02-933-3383,127.0763481,37.6504237
"서울특별시 종로구 종로 335, 1층 (창신동, 원풍빌딩)",소망약국,02-742-0075,127.0148243,37.57310361
"서울특별시 강북구 한천로 1088, 1층 (수유동, 현진빌딩)",소망약국,02-903-3353,127.0228011,37.64316986
"서울특별시 동작구 신대방1가길 38, 105동 305, 306호 (신대방동, 동작상떼빌아파트)",소망약국,02-6337-3107,126.9069396,37.487901
"서울특별시 금천구 독산로 252, 1층 (독산동)",소망약국,02-855-2054,126.9026357,37.46925295
서울특별시 은평구 가좌로5길 22-1 (응암동),소망온누리약국,02-373-6288,126.9203835,37.58688614
"서울특별시 강남구 학동로 338 102호 (논현동, 강남파라곤)",소망온누리약국,02-543-1287,127.0401622,37.51654027
서울특별시 광진구 능동로 318 (중곡동),소망온누리약국,02-2201-2236,127.08014,37.55790943
서울특별시 양천구 지양로 68 (신월동),소망온누리약국,02-2699-5662,126.8341084,37.52175418
"서울특별시 노원구 동일로250길 17, 108호 (상계동, 은빛3단지아파트)",소명약국,02-934-9114,127.0567709,37.68246227
서울특별시 용산구 우사단로 43 (이태원동),소명약국,02-795-9954,126.9954398,37.53411746
서울특별시 서대문구 모래내로15길 68 (남가좌동),소명약국,02-302-7575,126.9188126,37.57452921
"서울특별시 송파구 양산로 12, 세신거여훼미리타운 1층 107호 (거여동)",소백약국,02-400-8805,127.1435904,37.48991126
"서울특별시 서대문구 응암로 81, 1층 (북가좌동)",소생약국,02-303-7793,126.9114301,37.58044
"서울특별시 용산구 청파로 383-8, (서계동)",소아제일약국,02-711-2223,126.9684844,37.55415625
"서울특별시 강서구 강서로 173, 터보빌딩 2층 일부호 (화곡동)",소원약국,02-2608-3533,126.8396222,37.54192213
서울특별시 강북구 도봉로 205 (미아동),소원약국,02-988-0691,127.0255973,37.62686488
"서울특별시 성북구 개운사길 2, 1층 (안암동5가)",소원약국,02-3291-1905,127.0294753,37.58650792
"서울특별시 은평구 은평터널로 16, DMC파인시티자이 상가동 304,305호 (수색동)",소원약국,02-372-6474,126.8977424,37.5836208
"서울특별시 양천구 오목로 64, 1층 (신월동)",소중한약국,02-2607-4061,126.8446985,37.52246136
"서울특별시 노원구 상계로 320, 불암빌딩 (상계동)",소화약국,02-931-0415,127.0807748,37.67029154
"서울특별시 강남구 남부순환로363길 17, 1층 (도곡동)",소화약국,02-3463-1500,127.0377461,37.48637269
"서울특별시 서초구 방배로 87, 1층 1호 (방배동)",소화약국,02-558-3400,126.9969088,37.48217809
서울특별시 동작구 여의대방로24나길 2 (대방동),소화약국,02-821-4551,126.9210251,37.49842348
"서울특별시 영등포구 버드나루로7길 7, (영등포동2가)",소화약국,02-2635-4341,126.9099936,37.52283524
"서울특별시 은평구 갈현로 206, (갈현동)",속편한약국,02-356-9200,126.913761,37.61576688
"서울특별시 중랑구 중랑역로 62, 1층 (중화동)",손약국,02-439-0833,127.0781058,37.59891377
"서울특별시 노원구 상계로3길 10, 한일빌딩 304호 (상계동)",손약국,02-936-8283,127.0625497,37.65670654
"서울특별시 송파구 백제고분로 405, 1층 (송파동)",손약국,02-421-8684,127.1096861,37.50746658
"서울특별시 영등포구 대림로21길 14, 상석빌딩 1층 (대림동)",손약국,02-832-3722,126.8999905,37.49259993
서울특별시 도봉구 도봉로 626 (창동),손온누리약국,02-904-3644,127.0419272,37.66019445
"서울특별시 강북구 삼양로 579, 화성빌딩 1층 (우이동)",솔밭약국,050-71319-4413,127.0127106,37.65469703
서울특별시 서대문구 세검정로 72 (홍제동),솔벗약국,02-3216-8151,126.9482615,37.5939493
"서울특별시 강남구 언주로30길 10, 현대비전21 110호 (도곡동)",솔빛동양약국,070-7740-5462,127.0515539,37.48733867
"서울특별시 중랑구 면목로 456, 한성빌딩 3층 (면목동)",솔빛약국,02-496-9053,127.0868969,37.59256789
서울특별시 강북구 솔샘로 295-1 (미아동),솔샘온누리약국,02-988-2209,127.0253809,37.61828716
"서울특별시 강북구 솔샘로 203, 1층 (미아동)",솔샘우리약국,02-987-5634,127.0151301,37.62030885
"서울특별시 강동구 양재대로 1365, 심포니타워 111호 (성내동)",솔솔약국,02-486-2005,127.1358749,37.52806575
"서울특별시 은평구 진관4로 77, 702동 113호 (진관동, 은평뉴타운상림마을)",솔약국,02-355-5304,126.9284436,37.64666871
"서울특별시 중구 퇴계로 447, 108,109호 (황학동, 황학 아크로타워)",솔약국,02-6369-5203,127.0217218,37.56604198
"서울특별시 강동구 진황도로 85 (길동) 강동큐브2차105,106호",솔약국,070-7122-0075,127.136133,37.5366246
